Time(s),Temperature(C),Frequency(Hz),Magnitude
0,25.17,0,0
1,25.13,0.0313,6.8253
2,25.08,0.0625,0.8049
3,25.06,0.0938,1.0316
4,25.03,0.125,0.971
5,24.99,0.1562,0.4808
6,24.97,0.1875,0.6046
7,24.94,0.2187,0.5424
8,24.92,0.25,0.2581
9,24.9,0.2813,0.4964
10,24.87,0.3125,0.2371
11,24.85,0.3438,0.3189
12,24.94,0.375,0.365
13,25.03,0.4063,0.176
14,25.06,0.4375,0.359
15,25.2,0.4688,0.2503
16,25.26,0.5,0.2994
17,25.31,0.5313,0.2503
18,25.33,0.5625,0.359
19,25.42,0.5938,0.176
20,25.54,0.625,0.365
21,25.56,0.6563,0.3189
22,25.61,0.6875,0.2371
23,25.63,0.7188,0.4964
24,25.66,0.75,0.2581
25,25.68,0.7813,0.5424
26,25.68,0.8125,0.6046
27,25.7,0.8437,0.4808
28,25.7,0.875,0.971
29,25.72,0.9062,1.0316
30,25.75,0.9375,0.8049
31,25.75,0.9687,6.8253
0,25.84,0,0.0001
2,25.84,0.0172,12.6904
4,25.86,0.0345,2.5765
6,25.86,0.0517,1.125
8,25.86,0.069,1.1181
10,25.86,0.0862,1.0112
12,25.89,0.1034,1.8501
14,25.86,0.1207,1.5394
16,25.89,0.1379,1.5901
18,25.89,0.1552,1.1876
20,25.96,0.1724,0.9886
22,25.89,0.1897,0.842
24,25.66,0.2069,0.7836
26,25.38,0.2241,0.8575
28,25.2,0.2414,1.0715
30,25.06,0.2586,1.0715
32,24.87,0.2759,0.8575
34,24.69,0.2931,0.7836
36,24.55,0.3103,0.842
38,24.42,0.3276,0.9886
40,24.3,0.3448,1.1876
42,24.26,0.3621,1.5901
44,24.19,0.3793,1.5394
46,24.14,0.3966,1.8501
48,24.1,0.4138,1.0112
50,24.76,0.431,1.1181
52,25.38,0.4483,1.125
54,25.4,0.4655,2.5765
56,24.64,0.4828,12.6904
0,25.22,0,0
1.04,25.2,0.0302,4.2343
2.07,24.78,0.0603,1.7787
3.11,25.54,0.0905,2.229
4.14,25.15,0.1207,1.0946
5.18,25.61,0.1509,0.8649
6.21,25.77,0.181,1.3145
7.25,25.52,0.2112,0.3609
8.29,25.1,0.2414,0.3562
9.32,25.22,0.2716,0.6337
10.36,25.06,0.3017,1.112
11.39,25.2,0.3319,1.1956
12.43,25.26,0.3621,1.1523
13.46,25.33,0.3922,0.6998
14.5,25.33,0.4224,0.7551
15.54,25.36,0.4526,0.8745
16.57,25.36,0.4828,0.9648
17.61,25.33,0.5129,0.8745
18.64,25.06,0.5431,0.7551
19.68,24.99,0.5733,0.6998
20.71,24.99,0.6034,1.1523
21.75,24.99,0.6336,1.1956
22.79,25.01,0.6638,1.112
23.82,24.97,0.694,0.6337
24.86,24.97,0.7241,0.3562
25.89,24.94,0.7543,0.3609
26.93,24.9,0.7845,1.3145
27.96,24.83,0.8147,0.8649
29,24.81,0.8448,1.0946
30.04,24.74,0.875,2.229
31.07,24.71,0.9052,1.7786
32.11,24.69,0.9353,4.2343
